Local time,Open,High,Low,Close,Volume,Next Open
2003-05-04,1.12284,1.13009,1.12014,1.12774,1274222.4044,1.12728
2003-05-05,1.12728,1.14506,1.12723,1.14338,1279672.4785,1.14297
2003-05-06,1.14297,1.14438,1.13265,1.13647,1278008.6017,1.13605
2003-05-07,1.13605,1.15077,1.13006,1.14996,1265182.6036999999,1.14932
2003-05-08,1.14932,1.15366,1.14346,1.14877,1272916.5097999999,1.14877
2003-05-09,1.14877,1.14877,1.14877,1.14877,0,1.14877
2003-05-11,1.14888,1.16229,1.14888,1.15427,1270388.3886999998,1.15357
2003-05-12,1.15357,1.15739,1.14620,1.15120,1263821.0098,1.15120
2003-05-13,1.15120,1.15370,1.14667,1.14940,1277471.5937999997,1.14913
2003-05-14,1.14913,1.14967,1.13744,1.13847,1275857.4160000002,1.13775
2003-05-15,1.13775,1.15766,1.13675,1.15705,1274033.5976999998,1.15705
2003-05-16,1.15705,1.15705,1.15705,1.15705,0,1.15705
2003-05-18,1.16564,1.17353,1.16205,1.16566,1276461,1.16520
2003-05-19,1.16520,1.17146,1.15998,1.17039,1278055.2110000001,1.16989
2003-05-20,1.16989,1.17437,1.16610,1.16716,1269671.4045,1.16654
2003-05-21,1.16654,1.17266,1.16181,1.16908,1276077.1016999998,1.16877
2003-05-22,1.16877,1.18363,1.16635,1.18236,1276165.4083,1.18236
2003-05-23,1.18236,1.18236,1.18236,1.18236,0,1.18236
2003-05-25,1.18200,1.18744,1.17955,1.18660,1278312.8028000002,1.18600
2003-05-26,1.18600,1.19286,1.18166,1.18258,1271915.7988,1.18191
2003-05-27,1.18191,1.18439,1.17037,1.17619,1276412.4981999998,1.17587
2003-05-28,1.17587,1.18998,1.16909,1.18803,1278348.9726999998,1.18757
2003-05-29,1.18757,1.19144,1.17419,1.17661,1272050.9962,1.17661
2003-05-30,1.17661,1.17661,1.17661,1.17661,0,1.17661
2003-06-01,1.17079,1.17652,1.16504,1.17443,1160226.1016,1.17426
2003-06-02,1.17426,1.17773,1.16858,1.17361,1270931.8927,1.17295
2003-06-03,1.17295,1.17463,1.16609,1.16615,1276120.5998,1.16565
2003-06-04,1.16565,1.18850,1.16273,1.18375,1280677.8751,1.18319
2003-06-05,1.18319,1.18772,1.16829,1.16971,1279083.7989999999,1.16971
2003-06-06,1.16971,1.16971,1.16971,1.16971,0,1.16971
2003-06-08,1.16870,1.17846,1.16548,1.17131,1274278.3164000001,1.17076
2003-06-09,1.17076,1.17400,1.16692,1.16729,1269463.797,1.16676
2003-06-10,1.16676,1.17805,1.16571,1.17391,1264178.7070999998,1.17359
2003-06-11,1.17359,1.18038,1.17020,1.17608,1267150.5976,1.17582
2003-06-12,1.17582,1.18758,1.17338,1.18600,1279678.8027,1.18600
2003-06-13,1.18600,1.18600,1.18600,1.18600,0,1.18600
2003-06-15,1.18624,1.19263,1.18198,1.18326,1271366.0858999998,1.18316
2003-06-16,1.18316,1.18652,1.17670,1.17907,1265464.6114,1.17844
2003-06-17,1.17844,1.18016,1.16604,1.16853,1265660.5058999998,1.16770
2003-06-18,1.16770,1.17372,1.15826,1.17173,1266762.291,1.17130
2003-06-19,1.17130,1.17333,1.15501,1.16010,1271527.8046999997,1.16010
2003-06-20,1.16010,1.16010,1.16010,1.16010,0,1.16010
2003-06-22,1.15955,1.16028,1.15069,1.15399,1267169.3263,1.15374
2003-06-23,1.15374,1.15801,1.14750,1.15141,1281097.0878999997,1.15118
2003-06-24,1.15118,1.16205,1.14897,1.15368,1274772.5917,1.15379
2003-06-25,1.15379,1.15509,1.14125,1.14151,1269716.2051000001,1.14145
2003-06-26,1.14145,1.14665,1.13984,1.14224,1271972.7112,1.14224
2003-06-27,1.14224,1.14224,1.14224,1.14224,0,1.14224
2003-06-29,1.14238,1.15121,1.13964,1.15086,1279420.6034000001,1.15084
2003-06-30,1.15084,1.16069,1.15010,1.15578,1275064.2969,1.15549
2003-07-01,1.15549,1.15668,1.15035,1.15366,1267163.0001,1.15345
2003-07-02,1.15345,1.15424,1.14316,1.14915,1276490.7968999997,1.14865
2003-07-03,1.14865,1.14999,1.14462,1.14862,1281812.5058000002,1.14862
2003-07-04,1.14862,1.14862,1.14862,1.14862,0,1.14862
2003-07-06,1.14800,1.14854,1.13122,1.13222,1273294.4221,1.13177
2003-07-07,1.13177,1.13498,1.12577,1.13121,1258378.7052000002,1.13107
2003-07-08,1.13107,1.13650,1.13029,1.13451,1277843.6994000003,1.13409
2003-07-09,1.13409,1.13914,1.13085,1.13861,1267429.0039000004,1.13807
2003-07-10,1.13807,1.13887,1.12749,1.12960,1265165.4862000002,1.12960
2003-07-11,1.12960,1.12960,1.12960,1.12960,0,1.12960
2003-07-13,1.12864,1.13070,1.12410,1.12749,1269917.7892,1.12707
2003-07-14,1.12707,1.13358,1.11550,1.11828,1267433.9179,1.11775
2003-07-15,1.11775,1.12305,1.11113,1.12038,1272510.6073999999,1.12049
2003-07-16,1.12049,1.12477,1.11556,1.12049,1266504.7930999997,1.11975
2003-07-17,1.11975,1.13022,1.11701,1.12716,1278004.6915000002,1.12716
2003-07-18,1.12716,1.12716,1.12716,1.12716,0,1.12716
2003-07-20,1.12615,1.13526,1.12401,1.13465,1272058.6074,1.13391
